appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
583590,Arms Race - TCWE,Alina Digital,Alina Digital,,44,19,0,"0 .. 20,000",0,0,0,0,1499,1499,0,0
611710,Kaiju Big Battel: Fighto Fantasy,Super Walrus Games,Super Walrus Games,,28,0,0,"0 .. 20,000",0,0,0,0,999,999,0,0
646280,Too Many Weapons,Studio HK,Studio HK,,23,7,0,"0 .. 20,000",0,0,0,0,999,999,0,0
594820,An Oath to the Stars,Himeki Games,Himeki Games,,13,6,0,"0 .. 20,000",0,0,0,0,0,0,0,0
631900,Airtone,historia Inc,AMG GAMES,,191,11,0,"0 .. 20,000",100,0,100,0,2999,2999,0,0
593210,Counter Fight: Samurai Edition,"Tricol Co., Ltd.","Tricol Co., Ltd.",,60,5,0,"0 .. 20,000",13,0,13,0,999,999,0,1
651280,TinkerQuarry,,Caprizant Games,,78,7,0,"0 .. 20,000",2078508,19830,2078508,19830,499,499,0,0
588880,Crush,VIS-Games,SilentFuture,,16,4,0,"0 .. 20,000",0,0,0,0,1199,1199,0,0
573070,BAFL - Brakes Are For Losers,Oudidon,Dear Villagers,,37,12,0,"0 .. 20,000",0,0,0,0,999,999,0,0
636010,Chateau Garden,Makivision Games,familyplay,,7,5,0,"0 .. 20,000",0,0,0,0,899,899,0,0
611830,Park Bound,Bambastic Games,Bambastic Games,,81,13,0,"0 .. 20,000",0,0,0,0,749,1499,50,1
625770,Smashing The Battle VR,Studio HG,YJM GAMES,,19,2,0,"0 .. 20,000",0,0,0,0,1099,1099,0,0
655030,Simple Light Cycles,Kelsam,Kelsam,,13,3,0,"0 .. 20,000",0,0,0,0,0,0,0,0
571430,Drone Hero,Neuston AB,Neuston AB,,45,6,0,"0 .. 20,000",0,0,0,0,999,999,0,0
636390,Ticket to Earth,Robot Circus,Robot Circus,,75,7,0,"0 .. 20,000",0,0,0,0,1499,1499,0,2
